Issue,Precision,Recall,F1,AllCorrect,HalfCorrect,Predicted,TrueCount
12,1.0,1.0,1.0,1,1,2,2
144,0.0,0.0,0.0,0,0,0,5
296,1.0,1.0,1.0,1,1,1,1
483,1.0,0.6666666666666666,0.8,0,1,2,3
586,0.3333333333333333,1.0,0.5,0,1,3,1
641,1.0,1.0,1.0,1,1,1,1
789,1.0,1.0,1.0,1,1,4,4
863,0.125,1.0,0.2222222222222222,0,1,8,1
946,1.0,1.0,1.0,1,1,1,1
1031,1.0,1.0,1.0,1,1,1,1
1086,1.0,1.0,1.0,1,1,1,1
1371,1.0,0.75,0.8571428571428571,0,1,3,4
1381,0.0,0.0,0.0,0,0,9,2
1631,0.7142857142857143,1.0,0.8333333333333334,0,1,7,5
1764,0.16666666666666666,1.0,0.2857142857142857,0,1,6,1
1849,1.0,1.0,1.0,1,1,4,4
1950,0.6,1.0,0.75,0,1,5,3
2025,1.0,1.0,1.0,1,1,1,1
2061,1.0,1.0,1.0,1,1,1,1
2174,1.0,0.5,0.6666666666666666,0,1,1,2
2421,1.0,0.6666666666666666,0.8,0,1,2,3
2563,0.0,0.0,0.0,0,0,1,1
2809,0.25,1.0,0.4,0,1,4,1
2830,0.125,1.0,0.2222222222222222,0,1,8,1
3103,0.3333333333333333,0.5,0.4,0,1,3,2
3129,0.25,1.0,0.4,0,1,4,1
3303,0.14285714285714285,0.5,0.2222222222222222,0,1,7,2
3628,1.0,1.0,1.0,1,1,1,1
3751,0.3333333333333333,1.0,0.5,0,1,6,2
3813,1.0,0.5714285714285714,0.7272727272727273,0,1,4,7
4170,1.0,1.0,1.0,1,1,1,1
4217,0.6666666666666666,1.0,0.8,0,1,3,2
4376,1.0,1.0,1.0,1,1,1,1
4507,1.0,0.6666666666666666,0.8,0,1,2,3
4562,0.5,1.0,0.6666666666666666,0,1,2,1
4682,1.0,1.0,1.0,1,1,1,1
5039,0.6666666666666666,1.0,0.8,0,1,3,2
5041,0.5,1.0,0.6666666666666666,0,1,2,1
5047,0.16666666666666666,1.0,0.2857142857142857,0,1,6,1
5218,1.0,1.0,1.0,1,1,2,2
5369,1.0,1.0,1.0,1,1,1,1
5671,1.0,1.0,1.0,1,1,1,1
5985,1.0,1.0,1.0,1,1,3,3
6184,1.0,1.0,1.0,1,1,1,1
6975,1.0,1.0,1.0,1,1,1,1
7014,0.0,0.0,0.0,0,0,3,3
7175,0.25,1.0,0.4,0,1,4,1
7221,0.8571428571428571,1.0,0.9230769230769231,0,1,7,6
7222,1.0,1.0,1.0,1,1,3,3
7435,0.3333333333333333,1.0,0.5,0,1,3,1
7705,0.2857142857142857,1.0,0.4444444444444444,0,1,7,2
7805,0.3333333333333333,1.0,0.5,0,1,3,1
7956,1.0,1.0,1.0,1,1,2,2
7993,0.6,1.0,0.75,0,1,5,3
7999,0.5,1.0,0.6666666666666666,0,1,6,3
8426,1.0,1.0,1.0,1,1,1,1
8455,0.3333333333333333,1.0,0.5,0,1,3,1
8693,1.0,1.0,1.0,1,1,1,1
56162,1.0,1.0,1.0,1,1,7,7
82275,1.0,1.0,1.0,1,1,6,6
125841,1.0,1.0,1.0,1,1,1,1
