Issue,Precision,Recall,F1,AllCorrect,HalfCorrect,Predicted,TrueCount
122,0.0,0.0,0.0,0,0,1,1
484,1.0,1.0,1.0,1,1,1,1
554,0.0,0.0,0.0,0,0,1,1
599,0.5,1.0,0.6666666666666666,0,1,2,1
773,1.0,1.0,1.0,1,1,1,1
838,1.0,1.0,1.0,1,1,1,1
921,0.0,0.0,0.0,0,0,2,1
1136,1.0,1.0,1.0,1,1,1,1
1188,1.0,0.5,0.6666666666666666,0,1,1,2
1229,1.0,0.25,0.4,0,0,1,4
1605,1.0,1.0,1.0,1,1,1,1
1768,1.0,0.42857142857142855,0.6,0,0,3,7
2131,0.0,0.0,0.0,0,0,2,1
2303,1.0,0.6666666666666666,0.8,0,1,2,3
2717,1.0,0.5,0.6666666666666666,0,1,1,2
3009,1.0,1.0,1.0,1,1,1,1
3195,0.0,0.0,0.0,0,0,1,2
3367,0.3333333333333333,1.0,0.5,0,1,3,1
3652,1.0,1.0,1.0,1,1,3,3
3822,0.5,1.0,0.6666666666666666,0,1,2,1
3851,1.0,0.6666666666666666,0.8,0,1,2,3
3860,1.0,1.0,1.0,1,1,1,1
3880,1.0,1.0,1.0,1,1,3,3
4299,0.5,0.5,0.5,0,1,2,2
4396,1.0,0.5,0.6666666666666666,0,1,1,2
4648,1.0,1.0,1.0,1,1,2,2
4768,1.0,1.0,1.0,1,1,1,1
4974,1.0,1.0,1.0,1,1,1,1
5081,0.0,0.0,0.0,0,0,3,3
5556,1.0,0.14285714285714285,0.25,0,0,1,7
5946,1.0,0.5,0.6666666666666666,0,1,1,2
6180,0.0,0.0,0.0,0,0,1,1
6299,1.0,0.6666666666666666,0.8,0,1,2,3
6723,1.0,1.0,1.0,1,1,1,1
6879,0.5,1.0,0.6666666666666666,0,1,2,1
6932,1.0,1.0,1.0,1,1,1,1
7075,1.0,1.0,1.0,1,1,1,1
7186,0.0,0.0,0.0,0,0,1,1
7255,1.0,1.0,1.0,1,1,2,2
7278,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,1,3,3
7332,0.0,0.0,0.0,0,0,1,1
7532,1.0,1.0,1.0,1,1,3,3
7568,0.0,0.0,0.0,0,0,1,2
7627,1.0,1.0,1.0,1,1,1,1
7818,1.0,1.0,1.0,1,1,4,4
7882,1.0,1.0,1.0,1,1,4,4
7947,1.0,1.0,1.0,1,1,3,3
8022,0.4,1.0,0.5714285714285714,0,1,5,2
8110,1.0,1.0,1.0,1,1,1,1
8405,0.5,0.8,0.6153846153846154,0,1,8,5
8420,1.0,1.0,1.0,1,1,1,1
8485,0.0,0.0,0.0,0,0,3,5
8644,1.0,1.0,1.0,1,1,1,1
8659,0.8,0.6666666666666666,0.7272727272727273,0,1,5,6
8692,1.0,1.0,1.0,1,1,1,1
52788,1.0,1.0,1.0,1,1,1,1
61332,1.0,0.5,0.6666666666666666,0,1,1,2
100340,1.0,1.0,1.0,1,1,1,1
177140,1.0,1.0,1.0,1,1,1,1
