Issue,K,MRR,NDCG_at_K,P_at_K
60,1,1.0,1.0,1.0
124,1,1.0,1.0,1.0
206,2,1.0,0.6131471927654584,0.5
219,1,1.0,1.0,1.0
323,3,1.0,0.7653606369886217,0.6666666666666666
365,1,1.0,1.0,1.0
531,1,0.5,0.0,0.0
626,2,1.0,1.0,1.0
657,3,1.0,0.7653606369886217,0.6666666666666666
786,1,1.0,1.0,1.0
917,4,0.2,0.0,0.0
1101,3,1.0,1.0,1.0
1428,1,1.0,1.0,1.0
1450,2,1.0,0.6131471927654584,0.5
1455,1,1.0,1.0,1.0
1549,5,1.0,0.8687949224876582,0.8
1922,1,1.0,1.0,1.0
1928,1,1.0,1.0,1.0
1972,5,1.0,1.0,1.0
2002,1,1.0,1.0,1.0
2517,3,0.3333333333333333,0.23463936301137822,0.3333333333333333
2553,3,0.3333333333333333,0.23463936301137822,0.3333333333333333
2790,2,0.006896551724137931,0.0,0.0
2935,2,1.0,1.0,1.0
2992,3,1.0,0.46927872602275644,0.3333333333333333
3035,3,1.0,0.7653606369886217,0.6666666666666666
3233,3,1.0,0.7039180890341347,0.6666666666666666
3309,1,1.0,1.0,1.0
3416,2,1.0,1.0,1.0
3436,1,1.0,1.0,1.0
3475,1,0.3333333333333333,0.0,0.0
3764,6,1.0,1.0,1.0
3794,7,0.25,0.11838279295536291,0.14285714285714285
3922,1,1.0,1.0,1.0
4213,1,1.0,1.0,1.0
4402,7,1.0,1.0,1.0
4476,1,1.0,1.0,1.0
4490,2,0.16666666666666666,0.0,0.0
4497,3,0.07692307692307693,0.0,0.0
4990,2,0.043478260869565216,0.0,0.0
5091,1,1.0,1.0,1.0
5355,2,1.0,1.0,1.0
5490,1,1.0,1.0,1.0
6877,1,1.0,1.0,1.0
7150,1,1.0,1.0,1.0
7680,1,1.0,1.0,1.0
7722,1,1.0,1.0,1.0
7913,1,0.5,0.0,0.0
7995,4,1.0,1.0,1.0
8111,4,0.3333333333333333,0.36331756126716835,0.5
8447,2,0.2,0.0,0.0
8729,1,0.3333333333333333,0.0,0.0
8840,1,1.0,1.0,1.0
39394,1,1.0,1.0,1.0
39545,1,1.0,1.0,1.0
136864,1,1.0,1.0,1.0
152385,1,1.0,1.0,1.0
165471,1,1.0,1.0,1.0
