Issue,K,Predicted,Inter,AllCorrect,HalfCorrect,Precision,Recall,F1
68,2,2,2,1,1,1.0,1.0,1.0
127,3,3,3,1,1,1.0,1.0,1.0
520,1,1,0,0,0,0.0,0.0,0.0
596,4,4,0,0,0,0.0,0.0,0.0
654,3,3,2,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
940,1,1,1,1,1,1.0,1.0,1.0
964,5,5,2,0,0,0.4,0.4,0.4
1099,4,4,4,1,1,1.0,1.0,1.0
1541,1,1,1,1,1,1.0,1.0,1.0
1623,1,1,0,0,0,0.0,0.0,0.0
1724,2,2,1,0,1,0.5,0.5,0.5
1883,7,7,6,0,1,0.8571428571428571,0.8571428571428571,0.8571428571428571
2009,1,1,1,1,1,1.0,1.0,1.0
2460,1,1,1,1,1,1.0,1.0,1.0
2612,3,3,3,1,1,1.0,1.0,1.0
2616,1,1,1,1,1,1.0,1.0,1.0
2669,1,1,0,0,0,0.0,0.0,0.0
2939,1,1,1,1,1,1.0,1.0,1.0
2996,3,3,2,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
3039,2,2,0,0,0,0.0,0.0,0.0
3046,2,2,2,1,1,1.0,1.0,1.0
3131,2,2,2,1,1,1.0,1.0,1.0
3295,1,1,1,1,1,1.0,1.0,1.0
3343,1,1,0,0,0,0.0,0.0,0.0
3630,1,1,1,1,1,1.0,1.0,1.0
4119,1,1,0,0,0,0.0,0.0,0.0
4368,2,2,2,1,1,1.0,1.0,1.0
4403,6,6,3,0,1,0.5,0.5,0.5
4413,1,1,0,0,0,0.0,0.0,0.0
4549,1,1,0,0,0,0.0,0.0,0.0
4869,1,1,1,1,1,1.0,1.0,1.0
4908,1,1,1,1,1,1.0,1.0,1.0
5055,1,1,1,1,1,1.0,1.0,1.0
5062,3,3,1,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
5296,1,1,0,0,0,0.0,0.0,0.0
5472,1,1,1,1,1,1.0,1.0,1.0
5602,2,2,2,1,1,1.0,1.0,1.0
5616,7,7,7,1,1,1.0,1.0,1.0
5663,3,3,1,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
5696,1,1,1,1,1,1.0,1.0,1.0
5801,4,4,0,0,0,0.0,0.0,0.0
5887,1,1,1,1,1,1.0,1.0,1.0
5990,5,5,5,1,1,1.0,1.0,1.0
6011,3,3,3,1,1,1.0,1.0,1.0
6090,2,2,1,0,1,0.5,0.5,0.5
6400,1,1,1,1,1,1.0,1.0,1.0
6461,2,2,2,1,1,1.0,1.0,1.0
6472,3,3,2,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
6813,1,1,1,1,1,1.0,1.0,1.0
7274,1,1,1,1,1,1.0,1.0,1.0
7454,3,3,3,1,1,1.0,1.0,1.0
7817,1,1,1,1,1,1.0,1.0,1.0
7933,1,1,0,0,0,0.0,0.0,0.0
8307,1,1,1,1,1,1.0,1.0,1.0
8786,2,2,2,1,1,1.0,1.0,1.0
8790,1,1,1,1,1,1.0,1.0,1.0
72610,1,1,1,1,1,1.0,1.0,1.0
166286,1,1,1,1,1,1.0,1.0,1.0
