Issue,K,Predicted,Inter,AllCorrect,HalfCorrect,Precision,Recall,F1
122,1,1,0,0,0,0.0,0.0,0.0
484,1,1,1,1,1,1.0,1.0,1.0
554,1,1,0,0,0,0.0,0.0,0.0
599,1,1,1,1,1,1.0,1.0,1.0
773,1,1,1,1,1,1.0,1.0,1.0
838,1,1,1,1,1,1.0,1.0,1.0
921,1,1,0,0,0,0.0,0.0,0.0
1136,1,1,1,1,1,1.0,1.0,1.0
1188,2,2,2,1,1,1.0,1.0,1.0
1229,4,4,4,1,1,1.0,1.0,1.0
1605,1,1,1,1,1,1.0,1.0,1.0
1768,7,7,7,1,1,1.0,1.0,1.0
2131,1,1,0,0,0,0.0,0.0,0.0
2303,3,3,3,1,1,1.0,1.0,1.0
2717,2,2,2,1,1,1.0,1.0,1.0
3009,1,1,1,1,1,1.0,1.0,1.0
3195,2,2,0,0,0,0.0,0.0,0.0
3367,1,1,1,1,1,1.0,1.0,1.0
3652,3,3,3,1,1,1.0,1.0,1.0
3822,1,1,0,0,0,0.0,0.0,0.0
3851,3,3,3,1,1,1.0,1.0,1.0
3860,1,1,1,1,1,1.0,1.0,1.0
3880,3,3,3,1,1,1.0,1.0,1.0
4299,2,2,1,0,1,0.5,0.5,0.5
4396,2,2,1,0,1,0.5,0.5,0.5
4648,2,2,2,1,1,1.0,1.0,1.0
4768,1,1,1,1,1,1.0,1.0,1.0
4974,1,1,1,1,1,1.0,1.0,1.0
5081,3,3,0,0,0,0.0,0.0,0.0
5556,7,7,7,1,1,1.0,1.0,1.0
5946,2,2,1,0,1,0.5,0.5,0.5
6180,1,1,0,0,0,0.0,0.0,0.0
6299,3,3,3,1,1,1.0,1.0,1.0
6723,1,1,1,1,1,1.0,1.0,1.0
6879,1,1,1,1,1,1.0,1.0,1.0
6932,1,1,1,1,1,1.0,1.0,1.0
7075,1,1,1,1,1,1.0,1.0,1.0
7186,1,1,0,0,0,0.0,0.0,0.0
7255,2,2,2,1,1,1.0,1.0,1.0
7278,3,3,2,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
7332,1,1,0,0,0,0.0,0.0,0.0
7532,3,3,3,1,1,1.0,1.0,1.0
7568,2,2,0,0,0,0.0,0.0,0.0
7627,1,1,1,1,1,1.0,1.0,1.0
7818,4,4,4,1,1,1.0,1.0,1.0
7882,4,4,4,1,1,1.0,1.0,1.0
7947,3,3,3,1,1,1.0,1.0,1.0
8022,2,2,2,1,1,1.0,1.0,1.0
8110,1,1,1,1,1,1.0,1.0,1.0
8405,5,5,4,0,1,0.8,0.8,0.8
8420,1,1,1,1,1,1.0,1.0,1.0
8485,5,5,0,0,0,0.0,0.0,0.0
8644,1,1,1,1,1,1.0,1.0,1.0
8659,6,6,5,0,1,0.8333333333333334,0.8333333333333334,0.8333333333333334
8692,1,1,1,1,1,1.0,1.0,1.0
52788,1,1,1,1,1,1.0,1.0,1.0
61332,2,2,2,1,1,1.0,1.0,1.0
100340,1,1,1,1,1,1.0,1.0,1.0
177140,1,1,1,1,1,1.0,1.0,1.0
