Issue,K,MRR,NDCG_at_K,P_at_K
68,2,1.0,1.0,1.0
127,3,1.0,1.0,1.0
520,1,0.025,0.0,0.0
596,4,0.25,0.16812753627111746,0.25
654,3,1.0,0.7653606369886217,0.6666666666666666
940,1,1.0,1.0,1.0
964,5,1.0,0.6843515475204855,0.6
1099,4,1.0,1.0,1.0
1541,1,1.0,1.0,1.0
1623,1,0.027777777777777776,0.0,0.0
1724,2,1.0,0.6131471927654584,0.5
1883,7,1.0,0.5039399436761999,0.42857142857142855
2009,1,1.0,1.0,1.0
2460,1,1.0,1.0,1.0
2612,3,1.0,1.0,1.0
2616,1,1.0,1.0,1.0
2669,1,0.3333333333333333,0.0,0.0
2939,1,1.0,1.0,1.0
2996,3,1.0,0.7039180890341347,0.6666666666666666
3039,2,0.09090909090909091,0.0,0.0
3046,2,1.0,1.0,1.0
3131,2,1.0,1.0,1.0
3295,1,1.0,1.0,1.0
3343,1,0.5,0.0,0.0
3630,1,1.0,1.0,1.0
4119,1,0.3333333333333333,0.0,0.0
4368,2,1.0,1.0,1.0
4403,6,1.0,0.644824486427155,0.5
4413,1,0.047619047619047616,0.0,0.0
4549,1,0.14285714285714285,0.0,0.0
4869,1,1.0,1.0,1.0
4908,1,1.0,1.0,1.0
5055,1,1.0,1.0,1.0
5062,3,1.0,0.46927872602275644,0.3333333333333333
5296,1,0.3333333333333333,0.0,0.0
5472,1,1.0,1.0,1.0
5602,2,1.0,1.0,1.0
5616,7,1.0,1.0,1.0
5663,3,0.5,0.2960819109658652,0.3333333333333333
5696,1,1.0,1.0,1.0
5801,4,0.5,0.24630238874073,0.25
5887,1,1.0,1.0,1.0
5990,5,1.0,1.0,1.0
6011,3,1.0,1.0,1.0
6090,2,0.3333333333333333,0.0,0.0
6400,1,1.0,1.0,1.0
6461,2,1.0,1.0,1.0
6472,3,1.0,0.7653606369886217,0.6666666666666666
6813,1,1.0,1.0,1.0
7274,1,1.0,1.0,1.0
7454,3,1.0,1.0,1.0
7817,1,1.0,1.0,1.0
7933,1,0.5,0.0,0.0
8307,1,1.0,1.0,1.0
8786,2,1.0,1.0,1.0
8790,1,1.0,1.0,1.0
72610,1,1.0,1.0,1.0
166286,1,1.0,1.0,1.0
