Issue,Precision,Recall,F1,AllCorrect,HalfCorrect,Predicted,TrueCount
3,1.0,0.3333333333333333,0.5,0,0,1,3
153,1.0,1.0,1.0,1,1,1,1
163,1.0,1.0,1.0,1,1,1,1
218,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,1,3,3
222,1.0,1.0,1.0,1,1,1,1
253,1.0,1.0,1.0,1,1,1,1
393,1.0,1.0,1.0,1,1,1,1
523,0.5,0.75,0.6,0,1,6,4
556,0.5,1.0,0.6666666666666666,0,1,2,1
884,0.0,0.0,0.0,0,0,1,7
968,0.0,0.0,0.0,0,0,3,1
1225,1.0,1.0,1.0,1,1,2,2
1267,1.0,1.0,1.0,1,1,1,1
1297,0.0,0.0,0.0,0,0,2,1
1342,1.0,1.0,1.0,1,1,3,3
1653,0.0,0.0,0.0,0,0,6,2
2055,1.0,1.0,1.0,1,1,2,2
2184,1.0,1.0,1.0,1,1,1,1
2348,0.0,0.0,0.0,0,0,2,1
2426,1.0,0.6666666666666666,0.8,0,1,2,3
2736,0.3333333333333333,1.0,0.5,0,1,3,1
2817,0.5,1.0,0.6666666666666666,0,1,2,1
3051,0.5,1.0,0.6666666666666666,0,1,2,1
3242,0.6666666666666666,1.0,0.8,0,1,3,2
3312,0.3333333333333333,1.0,0.5,0,1,6,2
3506,0.5,1.0,0.6666666666666666,0,1,2,1
3598,1.0,1.0,1.0,1,1,1,1
3743,0.25,1.0,0.4,0,1,4,1
3883,0.0,0.0,0.0,0,0,1,2
4017,0.5,1.0,0.6666666666666666,0,1,2,1
4152,1.0,1.0,1.0,1,1,1,1
4348,1.0,1.0,1.0,1,1,1,1
4472,1.0,1.0,1.0,1,1,1,1
4520,1.0,1.0,1.0,1,1,1,1
4784,1.0,1.0,1.0,1,1,1,1
4840,0.3333333333333333,1.0,0.5,0,1,3,1
4965,1.0,0.5,0.6666666666666666,0,1,1,2
5229,1.0,1.0,1.0,1,1,4,4
5241,1.0,1.0,1.0,1,1,1,1
5504,1.0,1.0,1.0,1,1,3,3
5677,1.0,1.0,1.0,1,1,1,1
5925,1.0,1.0,1.0,1,1,1,1
6168,0.4,1.0,0.5714285714285714,0,1,5,2
6417,1.0,1.0,1.0,1,1,1,1
6477,0.3333333333333333,0.5,0.4,0,1,3,2
6734,1.0,0.8,0.8888888888888888,0,1,4,5
6849,1.0,1.0,1.0,1,1,1,1
6900,0.25,1.0,0.4,0,1,4,1
7857,0.75,1.0,0.8571428571428571,0,1,4,3
7884,0.3333333333333333,1.0,0.5,0,1,9,3
8282,1.0,1.0,1.0,1,1,3,3
8685,0.2857142857142857,1.0,0.4444444444444444,0,1,7,2
63610,1.0,0.16666666666666666,0.2857142857142857,0,0,1,6
63874,1.0,1.0,1.0,1,1,1,1
131337,1.0,1.0,1.0,1,1,3,3
