issue_id,K,n_candidates,known_k_f1,abs_mm_f1,rel_f1,mrr,ndcg_at_k,p_at_k
8,1,93,0.0,66.66666666666666,66.66666666666666,50.0,0.0,0.0
78,2,95,50.0,50.0,50.0,50.0,38.68528072345416,50.0
104,1,105,0.0,4.878048780487806,4.878048780487806,2.564102564102564,0.0,0.0
113,3,105,33.33333333333333,40.0,44.44444444444444,50.0,29.608191096586523,33.33333333333333
159,6,96,16.666666666666664,41.66666666666667,41.66666666666667,100.0,30.260241349881344,16.666666666666664
178,1,101,100.0,100.0,100.0,100.0,100.0,100.0
182,3,101,33.33333333333333,54.54545454545454,50.0,50.0,29.608191096586523,33.33333333333333
255,1,118,100.0,66.66666666666666,66.66666666666666,100.0,100.0,100.0
278,1,125,0.0,66.66666666666666,66.66666666666666,50.0,0.0,0.0
316,1,137,0.0,50.0,33.333333333333336,50.0,0.0,0.0
410,1,164,100.0,100.0,100.0,100.0,100.0,100.0
446,2,169,0.0,6.25,6.451612903225806,4.166666666666666,0.0,0.0
482,3,183,33.33333333333333,50.0,50.0,100.0,46.92787260227564,33.33333333333333
550,1,20,0.0,66.66666666666666,66.66666666666666,50.0,0.0,0.0
658,4,195,0.0,11.76470588235294,11.76470588235294,4.545454545454546,0.0,0.0
763,4,231,25.0,40.0,40.0,100.0,39.038004999210166,25.0
772,1,232,100.0,100.0,100.0,100.0,100.0,100.0
1019,5,235,20.000000000000004,20.000000000000004,18.18181818181818,25.0,14.606834984270645,20.0
1024,5,235,40.00000000000001,28.57142857142857,28.57142857142857,25.0,27.727342735504823,40.0
1109,3,230,33.33333333333333,33.33333333333333,28.571428571428577,33.33333333333333,23.46393630113782,33.33333333333333
1117,3,228,33.33333333333333,40.0,40.0,100.0,46.92787260227564,33.33333333333333
1268,3,194,66.66666666666666,80.0,66.66666666666666,100.0,76.53606369886216,66.66666666666666
1303,3,189,33.33333333333333,50.0,50.0,100.0,46.92787260227564,33.33333333333333
1419,2,162,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
1431,4,154,25.0,40.0,40.0,100.0,39.038004999210166,25.0
1453,1,144,100.0,100.0,100.0,100.0,100.0,100.0
1513,1,139,100.0,100.0,100.0,100.0,100.0,100.0
1593,3,124,33.33333333333333,50.0,50.0,100.0,46.92787260227564,33.33333333333333
1693,1,134,0.0,66.66666666666666,66.66666666666666,50.0,0.0,0.0
2045,7,114,42.857142857142854,60.0,60.0,100.0,58.574215635967576,42.857142857142854
2065,5,113,20.000000000000004,33.333333333333336,30.0,25.0,14.606834984270645,20.0
2094,1,113,100.0,100.0,100.0,100.0,100.0,100.0
2456,6,163,33.33333333333333,36.36363636363636,42.10526315789473,100.0,41.9665006636777,33.33333333333333
2700,2,171,0.0,5.128205128205128,5.128205128205128,2.380952380952381,0.0,0.0
3167,1,194,100.0,100.0,100.0,100.0,100.0,100.0
3180,3,201,0.0,16.666666666666664,16.666666666666664,16.666666666666664,0.0,0.0
3699,2,185,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
4090,2,171,0.0,22.222222222222225,13.333333333333336,14.285714285714285,0.0,0.0
4116,4,176,25.0,25.0,25.0,50.0,24.630238874072997,25.0
4134,1,178,100.0,100.0,100.0,100.0,100.0,100.0
4150,3,179,0.0,16.666666666666664,18.181818181818183,12.5,0.0,0.0
4383,2,167,0.0,5.194805194805195,5.479452054794521,1.8518518518518516,0.0,0.0
4406,4,162,25.0,40.0,40.0,100.0,39.038004999210166,25.0
4613,1,181,0.0,66.66666666666666,66.66666666666666,50.0,0.0,0.0
4666,1,192,0.0,2.2988505747126435,2.2988505747126435,1.2345679012345678,0.0,0.0
4718,2,196,0.0,11.76470588235294,11.76470588235294,4.545454545454546,0.0,0.0
4835,1,219,100.0,100.0,100.0,100.0,100.0,100.0
5321,1,248,100.0,100.0,100.0,100.0,100.0,100.0
5394,1,247,0.0,1.6666666666666667,1.4814814814814816,0.847457627118644,0.0,0.0
5442,1,252,0.0,66.66666666666666,66.66666666666666,50.0,0.0,0.0
5706,1,265,0.0,33.333333333333336,50.0,33.33333333333333,0.0,0.0
5732,2,266,0.0,7.6923076923076925,7.4074074074074066,5.555555555555555,0.0,0.0
6292,6,290,33.33333333333333,37.49999999999999,31.57894736842105,25.0,23.811292043488155,33.33333333333333
6375,2,286,0.0,28.571428571428577,40.0,33.33333333333333,0.0,0.0
6469,2,304,50.0,50.0,50.0,50.0,38.68528072345416,50.0
6679,1,316,0.0,33.333333333333336,33.333333333333336,33.33333333333333,0.0,0.0
7100,5,296,40.00000000000001,44.44444444444445,44.44444444444445,50.0,36.005461457723406,40.0
7122,1,296,0.0,3.508771929824561,4.347826086956522,2.3255813953488373,0.0,0.0
7154,1,292,0.0,66.66666666666666,66.66666666666666,50.0,0.0,0.0
7377,7,273,28.57142857142857,30.769230769230766,33.33333333333333,100.0,39.32591258696538,28.57142857142857
7437,2,258,0.0,1.6597510373443984,1.6194331983805668,0.7462686567164178,0.0,0.0
7456,6,254,16.666666666666664,25.0,25.0,50.0,19.092086617893468,16.666666666666664
7524,1,244,0.0,28.57142857142857,28.57142857142857,16.666666666666664,0.0,0.0
7658,1,237,100.0,100.0,100.0,100.0,100.0,100.0
7721,1,222,0.0,66.66666666666666,66.66666666666666,50.0,0.0,0.0
7879,7,213,0.0,29.166666666666668,42.42424242424242,5.88235294117647,0.0,0.0
7930,1,211,0.0,50.0,50.0,33.33333333333333,0.0,0.0
8151,1,199,0.0,1.092896174863388,1.1111111111111112,0.5586592178770949,0.0,0.0
8245,1,194,100.0,100.0,100.0,100.0,100.0,100.0
8824,1,172,0.0,2.73972602739726,2.5,1.3888888888888888,0.0,0.0
8849,1,173,0.0,8.333333333333332,8.333333333333332,5.263157894736842,0.0,0.0
8887,1,174,100.0,100.0,100.0,100.0,100.0,100.0
8951,2,174,0.0,15.384615384615385,15.384615384615385,9.090909090909092,0.0,0.0
9078,6,177,16.666666666666664,18.18181818181818,18.18181818181818,20.0,11.706259313796354,16.666666666666664
9083,5,177,20.000000000000004,20.000000000000004,18.18181818181818,33.33333333333333,16.958010263680805,20.0
9494,1,140,100.0,66.66666666666666,66.66666666666666,100.0,100.0,100.0
9511,2,141,50.0,50.0,40.0,50.0,38.68528072345416,50.0
9723,1,127,100.0,100.0,100.0,100.0,100.0,100.0
10060,1,163,0.0,50.0,50.0,50.0,0.0,0.0
10225,3,169,33.33333333333333,50.0,50.0,100.0,46.92787260227564,33.33333333333333
10356,2,167,0.0,20.0,20.0,12.5,0.0,0.0
10591,1,184,100.0,66.66666666666666,66.66666666666666,100.0,100.0,100.0
11763,1,267,0.0,3.4482758620689653,2.985074626865672,1.8867924528301887,0.0,0.0
11768,2,267,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
12009,1,272,0.0,1.092896174863388,1.1428571428571428,0.591715976331361,0.0,0.0
12325,6,289,33.33333333333333,46.15384615384615,40.0,100.0,43.29261794091841,33.33333333333333
12475,1,289,0.0,4.651162790697675,4.651162790697675,3.3333333333333335,0.0,0.0
12502,2,295,0.0,15.384615384615385,20.0,20.0,0.0,0.0
12525,5,299,20.000000000000004,28.57142857142857,33.33333333333333,33.33333333333333,16.958010263680805,20.0
12717,5,307,20.000000000000004,28.571428571428577,28.571428571428577,50.0,21.398626473452754,20.0
12772,1,306,0.0,20.0,15.384615384615385,14.285714285714285,0.0,0.0
13261,2,271,0.0,15.384615384615385,16.666666666666668,12.5,0.0,0.0
13285,1,270,0.0,40.0,33.333333333333336,50.0,0.0,0.0
13393,2,252,100.0,100.0,100.0,100.0,100.0,100.0
13403,1,252,0.0,2.898550724637681,3.4482758620689653,1.8518518518518516,0.0,0.0
13498,1,232,100.0,100.0,100.0,100.0,100.0,100.0
13732,5,210,20.000000000000004,33.333333333333336,33.333333333333336,100.0,33.91602052736161,20.0
13869,4,187,25.0,40.0,40.0,100.0,39.038004999210166,25.0
13873,4,186,0.0,11.940298507462686,9.30232558139535,6.25,0.0,0.0
14098,2,169,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
14343,3,150,0.0,19.04761904761905,19.04761904761905,7.142857142857142,0.0,0.0
14524,1,124,100.0,66.66666666666666,66.66666666666666,100.0,100.0,100.0
14762,4,113,25.0,33.33333333333333,33.33333333333333,50.0,24.630238874072997,25.0
14850,2,104,50.0,66.66666666666666,50.0,100.0,61.31471927654584,50.0
15009,3,94,33.33333333333333,50.0,50.0,100.0,46.92787260227564,33.33333333333333
15069,5,89,20.000000000000004,33.333333333333336,33.333333333333336,100.0,33.91602052736161,20.0
15080,7,88,42.857142857142854,38.095238095238095,38.095238095238095,100.0,48.48845701744174,42.857142857142854
15273,2,67,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
15370,1,62,0.0,6.451612903225806,6.451612903225806,4.3478260869565215,0.0,0.0
15708,1,20,100.0,100.0,100.0,100.0,100.0,100.0
15731,1,12,100.0,100.0,100.0,100.0,100.0,100.0
