issue_id,K,n_candidates,known_k_f1,abs_mm_f1,rel_f1,mrr,ndcg_at_k,p_at_k
222,1,238,100.0,33.333333333333336,25.0,100.0,100.0,100.0
253,1,249,100.0,100.0,100.0,100.0,100.0,100.0
323,3,268,33.33333333333333,25.0,22.22222222222222,100.0,46.92787260227564,33.33333333333333
523,4,309,0.0,14.285714285714288,10.526315789473685,10.0,0.0,0.0
556,1,311,100.0,100.0,100.0,100.0,100.0,100.0
654,3,319,33.33333333333333,33.33333333333333,33.33333333333333,100.0,46.92787260227564,33.33333333333333
773,1,341,0.0,66.66666666666666,66.66666666666666,50.0,0.0,0.0
968,1,364,100.0,66.66666666666666,66.66666666666666,100.0,100.0,100.0
1623,1,457,0.0,1.680672268907563,1.680672268907563,0.847457627118644,0.0,0.0
1631,5,457,0.0,4.366812227074235,4.098360655737705,0.7575757575757576,0.0,0.0
2009,1,556,0.0,11.76470588235294,13.333333333333334,7.6923076923076925,0.0,0.0
2061,1,556,100.0,100.0,100.0,100.0,100.0,100.0
2174,2,556,0.0,4.301075268817205,3.8095238095238093,2.083333333333333,0.0,0.0
2184,1,556,100.0,50.0,28.57142857142857,100.0,100.0,100.0
2303,3,556,0.0,16.666666666666664,13.333333333333334,20.0,0.0,0.0
2460,1,556,0.0,8.333333333333332,6.666666666666667,5.0,0.0,0.0
2553,3,556,0.0,1.4705882352941178,1.4888337468982629,0.7518796992481203,0.0,0.0
2736,1,556,0.0,0.3952569169960474,0.3891050583657587,0.20964360587002098,0.0,0.0
2809,1,556,0.0,7.6923076923076925,9.09090909090909,7.142857142857142,0.0,0.0
2817,1,556,100.0,50.0,50.0,100.0,100.0,100.0
3242,2,554,0.0,22.22222222222222,30.76923076923077,14.285714285714285,0.0,0.0
3309,1,553,0.0,13.333333333333334,9.523809523809524,8.333333333333332,0.0,0.0
3416,2,553,0.0,4.651162790697675,5.555555555555555,3.0303030303030303,0.0,0.0
3436,1,553,0.0,66.66666666666666,66.66666666666666,50.0,0.0,0.0
3506,1,552,0.0,66.66666666666666,66.66666666666666,50.0,0.0,0.0
3652,3,544,33.33333333333333,16.666666666666664,12.5,33.33333333333333,23.46393630113782,33.33333333333333
3743,1,544,0.0,11.76470588235294,18.181818181818183,10.0,0.0,0.0
3764,6,539,33.33333333333333,44.44444444444444,50.0,100.0,49.35232796777481,33.33333333333333
3860,1,539,0.0,3.571428571428572,3.6363636363636362,3.125,0.0,0.0
4402,7,534,28.57142857142857,36.36363636363637,36.36363636363637,100.0,44.83039899025303,28.57142857142857
4413,1,534,0.0,2.857142857142857,3.3333333333333335,1.7857142857142856,0.0,0.0
4869,1,520,0.0,2.985074626865672,2.5974025974025974,1.5151515151515151,0.0,0.0
5062,3,505,0.0,4.04040404040404,4.166666666666667,3.225806451612903,0.0,0.0
5355,2,505,0.0,1.7241379310344827,1.7316017316017316,0.8547008547008548,0.0,0.0
5602,2,495,0.0,1.257861635220126,1.2820512820512824,0.6802721088435374,0.0,0.0
5663,3,494,0.0,4.347826086956522,4.444444444444445,1.7241379310344827,0.0,0.0
5677,1,494,100.0,66.66666666666666,66.66666666666666,100.0,100.0,100.0
5696,1,491,0.0,18.181818181818183,12.5,14.285714285714285,0.0,0.0
5887,1,486,0.0,1.2269938650306746,1.3986013986013985,0.7042253521126761,0.0,0.0
5925,1,486,0.0,6.89655172413793,4.761904761904762,3.8461538461538463,0.0,0.0
6090,2,481,50.0,22.222222222222225,14.285714285714285,100.0,61.31471927654584,50.0
6461,2,474,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
6477,2,474,0.0,6.666666666666667,6.25,4.0,0.0,0.0
6813,1,472,0.0,0.4728132387706856,0.425531914893617,0.24213075060532688,0.0,0.0
6900,1,471,0.0,13.333333333333334,11.76470588235294,8.333333333333332,0.0,0.0
7882,4,448,50.0,50.0,50.0,100.0,58.55700749881525,50.0
7884,3,448,0.0,28.571428571428577,22.22222222222222,25.0,0.0,0.0
7947,3,448,33.33333333333333,25.0,22.22222222222222,50.0,29.608191096586523,33.33333333333333
7956,2,448,0.0,7.6923076923076925,8.51063829787234,2.857142857142857,0.0,0.0
8307,1,445,100.0,40.0,40.0,100.0,100.0,100.0
8685,2,430,0.0,20.0,16.666666666666668,20.0,0.0,0.0
8729,1,430,0.0,5.128205128205128,4.761904761904762,3.125,0.0,0.0
72610,1,24,0.0,28.57142857142857,28.57142857142857,16.666666666666664,0.0,0.0
125841,1,9,0.0,50.0,50.0,33.33333333333333,0.0,0.0
166286,1,4,0.0,66.66666666666666,66.66666666666666,50.0,0.0,0.0
